imdb_top_words.genre,imdb_top_words.word,imdb_top_words.count,imdb_top_words.sentiment
Adventure,original,4259,1.094153557173045
Adventure,watching,4256,0.6517857142857144
Adventure,acting,4160,0.633894230769231
Adventure,things,4146,0.9954172696575014
Adventure,series,4132,1.052758954501452
Adventure,big,3976,0.9979879275653927
Adventure,effects,3919,0.8867057922939523
Adventure,find,3795,1.3017127799736494
Adventure,pretty,3750,0.9514666666666667
Adventure,bit,3399,1.5860547219770522
Adventure,real,3382,1.3400354819633353
Adventure,makes,3325,1.4321804511278193
Adventure,read,3294,0.49453551912568283
Adventure,long,3262,0.9944819129368483
Adventure,funny,3250,1.1387692307692312
Adventure,fun,3223,1.8786844554762645
Adventure,special,3178,0.9634990560100691
Adventure,director,3163,0.8033512488144163
Adventure,star,3160,1.4367088607594933
Adventure,give,3116,0.8520539152759952
Adventure,fan,3112,0.7641388174807195
Adventure,cast,2972,1.4781292059219382
Animation,story,3341,2.061957497755163
Animation,good,2953,1.8828310193024045
Animation,animation,2493,2.037705575611713
Animation,characters,2242,1.7676181980374661
Animation,animated,2044,2.1991193737769077
Animation,time,2037,1.871870397643593
Animation,great,2001,2.6276861569215395
Animation,kids,1590,1.3150943396226413
Animation,love,1550,2.7070967741935483
Animation,disney,1449,2.279503105590062
Animation,made,1296,1.8225308641975309
Animation,people,1291,1.9752130131680872
Animation,funny,1276,1.5305642633228844
Animation,watch,1269,2.0614657210401894
Animation,make,1262,1.5459587955625986
Animation,plot,1166,0.9957118353344772
Animation,life,1164,2.351374570446735
Animation,family,1147,2.028770706190061
Animation,character,1125,1.5155555555555553
Animation,back,1118,1.9677996422182469
Animation,world,1094,2.2678244972577692
Animation,pixar,1033,1.9622458857696028
Animation,children,1001,1.4925074925074924
Animation,bad,996,0.7821285140562253
Animation,end,991,1.470232088799193
Animation,lot,933,2.142550911039657
Animation,years,903,2.5138427464008863
Animation,find,885,1.9491525423728815
Animation,thought,885,1.6350282485875702
Animation,fun,878,2.1537585421412304
Animation,watching,856,1.6004672897196262
Animation,big,819,1.9035409035409039
Animation,part,788,1.878172588832487
Animation,voice,782,1.8107416879795393
Animation,thing,762,1.3897637795275593
Animation,show,751,1.906790945406125
Animation,things,732,1.890710382513661
Animation,shrek,721,1.5395284327323164
Animation,pretty,713,1.5133239831697054
Animation,original,704,1.8806818181818183
Animation,toy,701,3.1840228245363758
Animation,makes,687,2.158660844250364
Animation,voices,679,1.7555228276877761
Animation,work,660,1.7651515151515156
Animation,year,660,1.872727272727273
Animation,bit,655,1.9175572519083968
Animation,loved,655,3.0717557251908403
Animation,real,646,1.9613003095975232
Animation,young,641,2.051482059282371
Animation,watched,623,2.3033707865168536
Biography,story,4805,2.279916753381894
Biography,life,3348,2.4985065710872165
Biography,good,3162,1.9626818469323215
Biography,time,2782,2.3141624730409776
Biography,people,2732,2.1639824304538795
Biography,great,2621,2.6730255627623043
Biography,man,2059,2.4497328800388543
Biography,made,1840,2.116847826086956
Biography,true,1746,2.380870561282933
Biography,make,1706,1.8640093786635408
Biography,real,1614,2.22180916976456
Biography,character,1545,2.025242718446602
Biography,years,1461,2.4188911704312117
Biography,based,1402,2.2261055634807416
Biography,watch,1309,2.1543162719633306
Biography,end,1298,2.0577812018489983
Biography,love,1297,2.5651503469545105
Biography,world,1221,2.6715806715806716
Biography,scenes,1181,1.837425910245555
Biography,acting,1161,2.1791559000861325
Biography,performance,1142,2.806479859894921
Biography,director,1092,2.23992673992674
Biography,characters,1060,1.9084905660377363
Biography,war,1050,2.7495238095238097
Biography,scene,1047,2.1470869149952243
Biography,watching,1046,1.9053537284894837
Biography,history,1045,2.08133971291866
Biography,back,1008,2.325396825396825
Biography,feel,1006,2.317097415506958
Biography,family,962,2.606029106029106
Biography,bad,961,0.7190426638917797
Biography,work,955,2.360209424083769
Biography,thought,931,2.1117078410311496
Biography,makes,916,2.4759825327510914
