twitter_top_words.genre,twitter_top_words.word,twitter_top_words.count,twitter_top_words.sentiment
Crime,trump,819,-0.026406513320075143
Crime,history,812,0.10838518777100617
Crime,city,808,0.45447854926846554
Crime,make,789,0.6274762984081343
Crime,days,728,0.4045815522792739
Crime,house,695,0.1928972282158814
Crime,country,695,0.3386363617593436
Crime,dead,689,-0.5033993290626432
Crime,week,683,0.18568258235661592
Crime,watch,673,0.42556014883200144
Crime,monster,664,-0.5916486797764539
Crime,enjoy,657,0.4152135154065113
Crime,money,654,0.26666023889528045
Crime,list,641,0.21496924346490137
Crime,long,639,-0.047536489432779654
Crime,news,625,0.10681668047606944
Crime,home,624,0.3608118364205345
Crime,kong,623,0.5379232083765692
Crime,mind,599,0.5494535222431125
Crime,book,598,0.7711713838961012
Crime,series,589,0.5186910493416373
Crime,young,571,0.4021248753768133
Crime,redemption,559,0.5998458366088023
Crime,superman,550,0.2990519863638011
Documentary,mindset,161,-0.33299375024641525
Documentary,prize,93,1.0108831877349524
Documentary,musical,84,0.18277856565657116
Documentary,enter,80,0.7619400024414062
Documentary,sight,79,0.11305606063408188
Documentary,qjajpe,77,-0.9369500271685711
Documentary,jackass,69,-0.35438216250875726
Documentary,void,68,0.24476912091760075
Documentary,oceans,63,0.36808252334594727
Documentary,night,58,0.572229305218006
Documentary,temporary,54,-0.420927780645865
Documentary,truth,54,0.24148234614619501
Documentary,stardom,53,0.5291113144946548
Documentary,year,52,1.4491394964548256
Documentary,attention,51,1.2061617187425202
Documentary,woodstock,50,0.4038849830627442
Documentary,wordplay,49,0.30632074998349557
Documentary,earth,48,0.455657405157884
Documentary,blessings,47,0.8864165366964137
Documentary,world,46,1.119833690640719
Documentary,procedure,45,0.07666666640175714
Documentary,cruyok,45,-0.8553999794854059
Documentary,prizes,45,1.11359437306722
Documentary,orange,42,0.33411429041907903
Documentary,dreams,42,0.29973572208767846
Documentary,obsessed,42,0.09773333157811845
Documentary,colours,42,0.4076583328701201
Documentary,votes,42,0.005383333191275597
Documentary,power,40,1.096750020980835
Documentary,today,40,0.26637715101242065
Documentary,migration,39,0.12895000286591357
Documentary,counting,37,0.3353837696281639
Documentary,back,37,0.4085753827884391
Documentary,money,36,0.290695834490988
Documentary,kycv,36,-0.23391111029518977
Documentary,jsdxo,36,0.5599807368384467
Documentary,love,35,0.8849928719656808
Documentary,wire,34,0.4269991552128511
Documentary,entries,32,0.7440125197172165
Documentary,eleven,31,0.3332322643649194
Documentary,columbine,31,-0.006504838745440207
Documentary,angry,30,0.0998171071211497
Documentary,fire,30,-0.44868457317352295
Documentary,mradp,30,1.146049976348877
Documentary,tbigl,30,1.176069974899292
Documentary,years,29,0.21042973830782133
Documentary,issue,28,0.3822468859808786
Documentary,elysees,28,-0.06673750068460192
Documentary,fsvywaq,27,0.347933327710187
Documentary,fuel,26,-0.4853115173486563
Drama,good,7443,1.0119176948818773
Drama,time,7116,0.3526998329761073
Drama,life,5458,0.8710359674651474
Drama,love,5358,1.0556848121430833
Drama,year,5168,0.30367829611012426
Drama,years,4077,0.3183702322887885
Drama,today,4050,0.5039907697082302
Drama,night,3915,0.4772744613817369
Drama,back,3850,0.20805212459829334
Drama,world,3777,0.3965512105230913
Drama,people,3587,0.20146608054596366
Drama,game,3358,0.34421983880821244
Drama,friday,3217,0.18907347398459504
Drama,street,3151,0.2114959210523894
Drama,work,2744,0.4092123966973612
Drama,part,2668,0.061381943486358635
Drama,story,2551,0.9493444173044431
Drama,days,2385,0.23708188452560697
Drama,times,2363,0.43303413786407097
Drama,shit,2349,0.07440918807200803
Drama,earth,2337,0.40225215865140496
Drama,house,2183,0.34127877057588435
Drama,made,2122,0.5146716011233424
Drama,mind,2115,1.1157559946214617
Drama,enjoy,2093,0.667343288517659
